,day_of_year,std_max,std_min
351,12-17,6.631839186831959,6.040498682504071
352,12-18,6.996254402654798,6.945397324847564
353,12-19,7.840863579138885,7.147133154862397
354,12-20,6.416837227170392,6.672613980542658
355,12-21,6.179725668129084,6.411001949773529
356,12-22,8.228197453472621,8.424457410816832
357,12-23,8.716685570406522,8.273557114889181
358,12-24,7.868067043435769,8.378296366207158
359,12-25,6.612675328488456,6.98477861734596
360,12-26,4.170163545953558,5.037488726207413
361,12-27,5.144731998202952,3.861433801064052
362,12-28,6.28509408574499,5.753807521980551
363,12-29,6.788630249665008,6.0499656197370175
364,12-30,7.470181233856817,7.752310687788521
365,12-31,5.92511540945699,5.8981622170352015
